"","sci_name_out","intercept","trend_past","sd_past","trend_BAU","sd_BAU","trend_SSP1","sd_SSP1","trend_SSP3","sd_SSP3","trend_nac","sd_nac","trend_nfn","sd_nfn","trend_nfs","sd_nfs","trend_past_signif","sd_past_signif","trend_BAU_signif","sd_BAU_signif","trend_SSP1_signif","sd_SSP1_signif","trend_SSP3_signif","sd_SSP3_signif","trend_nac_signif","sd_nac_signif","trend_nfn_signif","sd_nfn_signif","trend_nfs_signif","sd_nfs_signif","PLS","pressure_removed"
"1","Acanthis flammea",-0.468038733266722,0.0503031159016668,0.12955145909263,0.103577749128076,0.216785096277192,0.11728281354738,0.223070165980968,0.162086595079626,0.216812919681271,0.167071323776245,0.209719018884055,0.16094728197483,0.219718526641075,0.150433883882834,0.223114576639087,0.05757603769397,0.0899165540709696,0.123323782194887,0.0945222217122244,0.138955167379899,0.0923549853332968,0.18426198838177,0.0957581166050347,0.181041448973318,0.0933665316137118,0.181095400164691,0.0956972307603307,0.182924473549691,0.0982124124735057,"1","none"
"2","Acanthis flammea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2",NA
"3","Acanthis flammea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3",NA
"4","Acanthis flammea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5",NA
"5","Acanthis flammea",5.30535643359527,0.0845227355567895,0.174181114276163,-0.0424264822054424,0.354414555810045,0.0411728159376789,0.361178536877055,-0.024134892673028,0.363335391447549,-0.0100676078626681,0.379297803064731,0.0060553921477928,0.35496628742194,-0.0190713212885196,0.3652269594328,0.125152915170239,0.132106657772068,-0.0194251684879595,0.142793370332001,-0.0847518100941815,0.155284839046117,-0.0390069995710966,0.149652295858436,0.0179768016340987,0.147434294307996,0.00762944021467324,0.150838877001218,-0.0211547574373684,0.140308730986722,"6","none"
"6","Acanthis flammea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9",NA
"7","Acanthis flammea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA
"8","Acanthis flammea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11",NA
"9","Acanthis flammea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13",NA
"10","Acanthis flammea",1.17600057533609,-0.00336294723664027,0.437316289056212,-0.0250077301803126,0.445170201943951,0.60643167149012,0.541052670124322,-0.0225021770302269,0.418911310640887,-0.24666993296266,0.45028698972455,0.0563185565475734,0.420192394209815,-0.2471312240692,0.43420854512063,-0.183132706878817,0.322531910938621,-0.183132706878817,0.309273003994874,-0.183132706878817,0.306421736911645,-0.183132706878817,0.302115893794188,-0.183132706878817,0.323289923331895,-0.183132706878817,0.321118158849526,-0.183132706878817,0.292239758792151,"14","none"
